User,Tweet_ID,Source,Created_at,Retweet_count,Favorite_count,Text
@HillaryClinton,1133385336820817922,Twitter for iPhone,2019-05-28 14:51:36,268,0,"b'RT @PhilippeReines: .\xe2\x81\xa6@UnredactedDSR\xe2\x81\xa9\xe2\x80\x99s interview with \xe2\x81\xa6@HillaryClinton\xe2\x81\xa9 is now LIVE!\n\nEven better, we decided not to cut anything just to\xe2\x80\xa6'"
@HillaryClinton,1133369131326222337,Twitter Web Client,2019-05-28 13:47:12,4902,17064,"b""The administration's attacks on climate science are a betrayal of future generations that we have to work to revers\xe2\x80\xa6 https://t.co/YuWcScpFRo"""
@HillaryClinton,1133369001617350656,Twitter Web Client,2019-05-28 13:46:41,12,140,b'@Hasbro Thank you. \xf0\x9f\x99\x8f'
@HillaryClinton,1133101152004968448,Twitter Web Client,2019-05-27 20:02:21,5234,42697,b'Always such a joy to march in Chappaqua\xe2\x80\x99s Memorial Day parade. \n\nWishing everyone a lovely day of reflection and gr\xe2\x80\xa6 https://t.co/9O8xW6jrKc'
@HillaryClinton,1132636912777342976,Twitter Web Client,2019-05-26 13:17:38,8128,65278,"b'Earlier this month, Scrabble updated its list of approved words for game play for the first time in four years (""iv\xe2\x80\xa6 https://t.co/YLftJjGRop'"
@HillaryClinton,1132371658029883398,Twitter for iPhone,2019-05-25 19:43:36,2410,19687,b'When I was the First Lady of Arkansas one of the things I was most proud of is a school in Hot Springs I helped sta\xe2\x80\xa6 https://t.co/ubCC8BSgr8'
@HillaryClinton,1132357163878440960,Twitter Web Client,2019-05-25 18:46:00,661,4494,b'So thrilled to be giving the commencement at @ARMathSciArts today. You can tune in here: https://t.co/N7Re1otpQH'
@HillaryClinton,1132309330697609222,Twitter Web Client,2019-05-25 15:35:56,20521,86055,"b""My take on Trump and his cronies spreading that doctored video of Nancy Pelosi: It's sexist trash. \n\nIt's also a si\xe2\x80\xa6 https://t.co/QqgAhG9NPb"""
@HillaryClinton,1131915371798237186,Twitter Web Client,2019-05-24 13:30:29,3613,16013,"b""Thank you for this comedy with purpose, @JordanKlepper. I'm so heartened by the activists, educators, and faith lea\xe2\x80\xa6 https://t.co/tKiAvsrlNJ"""
@HillaryClinton,1131590616276754435,Twitter Web Client,2019-05-23 16:00:01,14237,47828,"b""It's heartbreaking that a sixth child has died in detention. It's outrageous that we're only learning about it eigh\xe2\x80\xa6 https://t.co/Ehq7Uyg8Ss"""
